product_id,animal_category_id
1,1
2,1
3,1
4,1
5,1
6,2
7,1
7,2
8,1
9,1
10,1
11,1
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,2
31,1
32,1
33,1
34,1
35,1
36,1
36,2
37,1
38,2
40,1
41,2
42,1
43,1
44,2
45,2
46,1
47,1
48,1
49,1
50,1
51,1
51,2
52,1
53,2
54,2
55,1
56,1
57,2
58,2
59,1
60,2
61,1
62,2
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
72,1
73,1
74,2
75,1
76,1
77,2
78,1
79,1
79,2
80,1
81,1
82,1
83,2
84,2
85,2
86,1
87,2
88,2
89,1
90,1
91,1
92,2
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,2
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
119,2
120,2
121,1
122,1
123,1
124,1
125,1
127,1
128,1
129,1
130,1
131,2
132,1
132,2
133,1
134,1
135,2
136,2
138,2
139,1
139,2
140,1
141,1
142,1
143,1
144,2
145,1
146,1
147,2
148,1
149,1
150,2
151,1
152,2
153,2
154,1
155,1
156,1
157,1
158,2
159,1
160,1
161,1
162,1
163,2
164,1
164,2
165,1
166,1
167,1
167,2
168,2
169,1
170,2
171,1
172,2
173,1
174,2
175,1
175,2
176,2
177,1
177,2
178,1
179,1
180,1
181,1
182,1
183,1
184,2
185,1
186,1
187,1
188,1
188,2
189,1
190,1
191,1
192,1
193,2
194,1
195,1
196,1
197,1
198,1
199,2
200,1
