product_id,ingredient_id
1,10
1,36
1,41
1,57
2,2
2,38
2,46
3,6
3,10
3,25
3,27
3,28
3,51
4,6
4,16
4,47
5,24
5,42
5,48
6,11
6,28
6,32
6,48
6,49
6,51
7,8
7,10
7,14
7,56
8,7
8,12
8,14
8,21
8,28
8,30
8,53
9,2
9,19
9,56
10,6
10,7
10,44
10,45
10,48
11,5
11,10
11,20
12,7
12,38
12,40
12,45
12,48
12,49
12,51
12,53
12,54
13,1
13,15
13,30
13,32
13,39
13,51
13,54
14,2
14,27
14,35
14,37
15,3
15,14
15,37
16,12
17,5
17,6
17,28
17,36
17,40
18,22
18,23
18,26
18,32
18,40
18,51
19,10
19,21
19,27
19,34
19,47
19,50
20,7
20,16
20,57
21,7
21,17
21,25
22,6
22,15
22,47
23,9
23,16
23,17
23,21
23,25
23,29
23,53
24,9
24,21
24,43
24,57
25,15
25,39
25,47
26,1
26,7
26,18
26,20
26,30
26,48
27,1
27,21
28,12
28,25
28,33
28,36
28,39
29,12
29,17
29,25
29,26
29,28
29,45
30,8
30,9
30,17
30,34
30,48
30,50
31,3
31,11
31,48
31,52
32,1
32,2
32,20
32,44
33,15
33,24
33,34
33,46
33,51
34,2
34,12
34,19
34,22
35,2
35,3
35,57
36,7
36,10
36,12
36,30
37,11
37,14
37,41
37,45
37,48
38,41
38,47
38,48
38,51
39,3
39,19
39,48
39,55
40,19
40,51
40,57
41,6
41,9
41,11
41,23
41,31
41,45
42,12
42,13
42,33
42,46
43,6
43,11
43,38
43,50
44,1
44,10
44,20
44,22
44,51
45,5
45,9
45,38
45,56
46,1
46,3
46,11
46,38
46,39
46,56
47,3
47,6
47,44
47,45
48,5
48,9
48,11
48,18
48,23
48,28
48,45
49,14
49,15
49,16
49,54
50,15
50,20
50,21
50,45
51,1
51,7
51,48
52,5
52,15
52,23
52,35
53,12
53,16
53,20
53,25
53,32
53,49
54,9
54,37
54,45
54,52
54,57
55,6
55,9
55,10
55,24
55,30
55,54
56,7
56,12
56,40
56,48
56,52
56,57
57,11
57,13
57,15
57,21
58,9
58,29
58,30
58,55
59,1
59,15
59,56
60,17
60,29
60,32
60,33
60,47
60,51
60,55
60,56
61,3
61,8
61,33
61,42
61,48
61,53
62,5
62,14
62,20
62,25
62,27
62,45
63,12
63,14
63,19
63,56
64,2
64,22
64,38
64,45
64,55
65,2
65,5
65,19
65,45
65,51
66,9
66,20
66,28
66,49
67,1
67,3
67,5
67,22
68,51
68,56
69,14
69,17
69,24
69,36
70,2
70,11
70,15
70,37
71,2
71,31
71,37
71,45
72,3
72,14
72,33
72,45
73,15
73,24
73,25
73,54
74,6
74,7
74,21
74,27
74,33
74,37
75,9
75,15
75,17
75,19
76,6
76,8
76,44
77,15
77,40
77,45
77,51
77,56
78,8
78,16
78,17
78,37
78,48
79,7
79,10
79,39
79,43
79,51
79,57
80,8
80,11
80,14
80,17
80,23
80,31
80,45
80,49
80,52
81,7
81,14
81,19
82,11
82,15
82,17
83,9
83,12
83,18
83,42
83,47
83,57
84,10
84,11
85,16
85,20
85,26
85,48
85,51
86,2
86,4
86,15
86,16
86,45
87,6
87,12
87,17
87,19
87,51
87,57
88,19
88,22
88,27
88,54
88,55
89,4
89,6
89,45
89,48
89,51
89,56
90,11
90,13
90,45
90,48
90,52
91,5
91,29
91,55
92,6
92,8
92,15
92,56
93,2
93,7
93,29
93,44
93,46
93,51
93,52
93,53
94,5
94,7
94,15
94,25
94,36
94,40
94,45
94,46
94,50
95,5
95,17
95,31
95,44
95,55
96,5
96,10
96,45
96,54
97,1
97,6
97,17
98,1
98,18
98,28
98,35
98,43
99,43
99,48
99,53
99,57
100,7
100,12
100,19
100,44
100,46
100,49
101,18
101,29
101,31
101,33
101,47
102,5
102,23
102,37
102,42
102,56
103,9
103,12
103,17
103,33
103,45
104,14
104,33
105,24
105,39
105,41
105,47
105,49
106,5
106,11
106,26
106,31
106,35
106,38
106,50
107,6
107,11
107,32
107,34
107,56
108,9
108,15
108,21
108,43
108,48
109,6
109,13
109,23
109,25
109,32
109,44
110,2
110,35
110,36
110,38
111,8
111,15
111,16
111,19
111,20
111,56
112,14
112,17
112,23
112,25
113,1
113,21
113,44
113,45
113,47
114,31
114,48
114,49
114,55
115,6
115,21
115,31
115,50
116,1
116,9
116,19
116,23
116,33
116,34
116,55
116,57
117,4
117,7
117,15
117,47
118,8
118,43
119,12
119,16
119,19
120,1
120,4
120,23
120,40
120,46
120,54
121,2
121,12
121,16
121,20
121,50
122,7
122,14
122,51
122,57
123,8
123,21
123,27
123,43
123,46
124,45
124,47
124,48
124,57
125,15
125,22
125,30
125,36
125,54
126,5
126,20
126,36
126,44
127,2
127,26
127,27
127,55
128,38
128,47
129,5
129,7
129,43
129,48
130,43
130,45
130,48
130,53
131,1
131,14
131,21
131,26
131,29
131,30
131,41
131,47
132,4
132,6
132,7
132,25
132,29
132,37
132,45
132,46
132,51
133,15
133,16
133,26
133,28
133,36
133,38
134,12
134,14
134,35
134,44
134,47
134,53
135,6
135,16
135,43
135,44
135,48
136,28
136,30
136,46
136,47
137,4
137,6
137,12
137,28
137,51
138,5
138,8
138,18
138,50
138,55
138,57
139,6
139,12
139,17
139,47
140,15
140,18
140,45
140,48
141,7
141,18
141,25
141,28
141,41
141,54
142,11
143,3
143,11
143,16
143,17
143,22
144,6
144,12
144,15
144,24
144,27
144,33
144,44
144,50
145,6
145,21
145,22
145,56
146,10
146,32
146,45
146,50
146,52
146,54
147,3
147,10
147,12
147,20
147,40
147,45
148,4
148,34
148,47
149,5
149,12
149,25
149,33
149,38
149,45
149,49
150,1
150,6
150,16
150,17
150,26
150,36
150,53
151,6
151,38
151,40
151,45
151,46
152,7
152,11
152,19
152,36
152,55
152,56
153,7
153,12
153,14
153,18
153,50
154,6
154,18
154,27
154,31
155,5
155,9
155,10
155,21
155,23
155,42
156,11
156,13
156,54
157,9
157,36
157,51
158,2
158,12
158,27
158,30
158,32
158,41
158,57
159,6
159,35
159,43
159,44
159,53
160,1
160,7
160,29
160,38
160,44
160,46
161,7
161,17
161,34
161,36
161,42
161,47
161,55
162,47
163,8
163,11
163,17
163,42
164,15
164,16
164,19
164,44
164,47
165,6
165,20
165,45
165,48
166,14
166,44
166,56
167,4
167,7
167,14
167,39
167,47
167,56
168,5
168,7
168,16
168,29
168,46
169,4
169,6
169,22
169,51
169,56
170,1
170,2
170,4
170,10
170,29
170,32
170,43
171,6
171,57
172,2
172,12
172,38
172,45
172,48
173,3
173,45
174,4
174,7
174,8
174,21
174,32
174,54
174,56
175,1
175,17
175,45
175,50
175,56
176,5
176,6
176,43
176,57
177,7
177,20
177,23
177,34
177,37
177,48
177,53
178,45
178,51
178,55
179,7
179,10
179,14
179,57
180,19
180,39
180,55
180,57
181,8
181,23
181,32
181,34
182,3
182,16
182,38
182,41
182,45
182,47
183,4
183,7
183,12
183,56
184,2
184,8
184,47
185,6
185,14
186,5
186,44
186,55
187,6
187,15
187,16
187,23
187,49
188,5
188,9
188,24
188,34
188,36
188,37
188,55
189,14
189,15
190,3
190,18
190,48
190,56
191,9
191,16
191,20
191,29
191,36
191,37
191,55
192,9
192,27
192,37
192,53
193,8
193,47
193,57
194,10
194,11
194,14
194,35
194,45
195,10
195,11
195,26
195,29
195,36
